Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Defensive Roar Arts, Few Wisdom Style, Brilliant Sanctum Form: Rebounding Pine Linking Otherness
Extra Blister Arts, Slip Style, Universal Reflection Form: Steel of the Asura
Nefarious Kick Arts, Sinister Style, Subduing Truth Form: Giant Fang-Ascending Lofty
Dark Lord Arts, Subduing Polarm Style, Formless Momentum Form: Five-Fold Array Binding Water
Gentle Storm Arts, Poisonous Jewel Style, Descent Form: Nullification-Blazing Stunning Saber
Gentle Coated Swan Arts, Foxform Stretched Style, Lake Form: Emptiness
Rising Brook Arts, Wicked Acala Style, Hellish Comb Form: Mirror-Unwavering Toxic Depth
Toxic Grappling Forged Hunyuan Arts, Evil Deflection Style, Trial Form: Warrior of the Cage
Advanced Roving Divine Authority Arts, Traceless North Spinning Style, Boxing Double Pounce Form: Domain-Attacking Spiraling Swarm
Dividing Hell Arts, Spectral Crystalline Tranquil Style, North Surface Form: Giant Hand-Freezing Rectitude
Unshakable Signless Arts, Countless Scriptures Style, Legged Forms Form: Surface-Matching Earthen Flare
Mighty Acala Arts, Violent Daybreak Style, Azure Giant Family Form: Giant Harmonies-Biting Surface
Imperial Skills Arts, Extinguishing Divinities Style, Dust Form: Chill of Tipsy
Northern Formless Intoxicated Circle Arts, Nature Style, Unknowable Break Form: Triple Basilisk Summoning Paladin
Evil Manifestation Arts, Eastern Mystic Spiritual Style, Intoxicated Hidden Nail Form: Dividing Battlefield Soothing Sword
Roving Full Grappling Wolf Arts, Pyre Style, Mystic Triangle Form: Dual-Warfield Rises Thread
Protective Polarm Arts, Descending Execution Style, Responsive Royal Form: Hunyuan of Necrotoxin
Dancing Ape Arts, Ethereal Ravenous Polearm Style, Wounding Devastation Form: Sonata
Unrivaled Tai Arts, Shooting Wild Grace Style, Instance Form: Giant Blossoms-Chopping Style
Grafting Perfect Invisible Flesh Arts, Splitting Whirlwind Style, Finishing Paladin Form: Dual-South Crouching Meditation
Feral Lance Arts, Continuous Butterfly Style, Capped Scheme Form: Thoughtless of Mount
Intoxicated Drunken Finishing Sinister Arts, Double Emptiness Style, Red Feral Shield Form: Dual-East Resonating Mirror
Silver Underworld Arts, Scholar Style, Starvation Form: Five-Fold Spirits Observing Enigma
Liberated Spear Arts, Thunderous Sui Style, Living Timberfall Form: Sound of the Southern Opposition
Crimson Vampire Arts, Few Foundation Style, Fiery Drift Form: Merciful Noble
Primordial Pearl Arts, Solar Mountian Style, Eastern Vitality Form: Six Soothing Harvest
Facing Emergence Arts, Battlefield Style, Ascending Bound Form: Judgment of the Gold
Extreme Snakeform Arts, Aquatic Wave Style, Deep Needle Form: Domination of Breakout
Lunar Plate Arts, Giant Autumn Style, Obsidian Fortune Form: Five-Fold Drop Gathering Vibrant
Striking Manifestations Arts, Twin Spiral Style, Echo Form: Perfusion
Cold Shooting Rage Arts, Striking Profound Strength Style, Domain Form: Universal Rain
Chaotic Fist Arts, Black Mountain Style, Outward Dancing Disinterment Form: Six Freezing Heart
Earthly Warriors Arts, Mighty Calm Ethereal Style, Gem Stealth Form: Dual-Guard Drifting Staff
Shattering Taebaek Arts, Facing Leaf Style, Scriptures Form: Light of Split
True Pyrocascade Arts, Trigrams Style, Wandering Forms Form: Giant Pearl-Blooming Taiji
Downward Perfect Horse Arts, Elegant Virtuous Sweeping Style, Constellation Form: Harmonies of the Limitless Thread
Quick Awakening Arts, Corrupted Stunning Roving Style, Radiant Movement Form: Illusion of Thirst
True Quartet Arts, Ice Style, Moonlit Bodhidharma Form: Battle Chopping Vitality
Heavenly Hidden Throwing Manifestation Arts, Icy Transparency Style, Immortal Unshakable Mistveil Form: Cremation-Soaring Spiraling Tong
Great Explosion Arts, Boxing Grappling Malevolent Style, Felling Whale Form: Possession
Secret Thunderous Assault Arts, Righteous Distinction Style, Fading Trap Form: Basilisk of the Crash
Arching Calamity Arts, White Infinite Enlightened Style, Diving Bind Form: Skeletal Crows
Imperial Mirage Tipsy Arts, Bright Embrace Style, Mountain Form: Scale of the Quartet
Tearing Madness Arts, Moonlit Pearlflower Style, Big Ceremony Form: Tai Gathering Raven
Coral Calm Ash Arts, Abyssal Fleeting Advanced Style, Rebounding Great Taiji Form: Flight of the Double Shapeshifter
Cold Whip Arts, Silent Style, Devastation Form: Enlightenment Traversing Spin
Enlightened Extreme Resonance Arts, Encompassing Noble Style, Metallic Adamantine Radiance Form: Death
Obsidian Coated Spin Arts, Traceless Wing Style, Riding Gentle Legacy Form: Dual-Command Summoning Timberfall
Blazing Sanctum Arts, Treading Red Repentant Style, Center Circulation Form: Volcano-Swaying Spectral South
Silver Gentle Wild Mirror Arts, Exploding Team Style, Gem Sword Form: Raptor of the Bronze Drop
Subduing Illuminating Shift Arts, Vermillion Grand Consecutive Style, Enlightened Nape Form: Triple Thread Soothing Parallel
Ghostly Flash Arts, Descending Snakeform Style, Demonic Quick Form: Trill of the Boxing Heat
Fiendish Crossing Aureate Venom Arts, Hidden Sweep Style, Graceful Transformation Form: Blooming Array Stealing Karma
Augmented Extended Otherness Arts, Transparency Style, Unshakable Yang Form: Giant Spark-Deflecting Waltz
Extinguishing Devastating Mount Arts, Taebaek Style, Repentant Solar Awakening Form: Formless Forms Twisting Method
Adaptive Spiritage Arts, Spirit Plume Style, Lower Archery Form: Six Flying Moonbeam
Unforgiving Kick Arts, Big Needle Style, Earth Form: Eagle Flowing Master
Frozen Monk Arts, Saving Obsidian Echo Style, Sweeping Foxform Momentum Form: Limitless Moonbeam
Celestial Halo Arts, Roving Extinguishing Wanderer Style, Adaptive Patriarch Form: Giant Palms-Poking Quake
Grand Roving Aquatic Ascension Arts, Riding Burst Style, Infinite Fiendish Piercer Form: Asura of the Arching Bone
Ravenous Flame Arts, Traversing Nail Style, Blessed Thoughtless Form: Feral Leaves Countering Mirrored
Ghostly Wolf Arts, Exploding Trigrams Style, Brush Form: Five-Fold Radiance Grounding Transformations
Crazy Temple Arts, Apex Endless Thunderbolt Style, Full Assaliants Form: Song of the Rebounding Intention
Waxing Gateways Arts, Magnanimous Steps Style, Finger Form: Principles Revitalizing Mindscape
Forged Enlightened Frenzy Arts, Bronze Ghostly Root Style, Primordial Violent Manifestation Form: Void of the Countless Roars
Current Jade Defensive Cave Arts, Foundational Finger Style, Evil Book Form: Hawk of the Dipper
Stellar Single Ascending Gold Arts, Skeletal Riding Sinister Style, Consuming Stalwart Form: Quick of Projectile
Enlightened Authority Arts, Empty Thunderbolt Style, Onyx Big Exorcism Form: Triple Circulation Reflecting Crushes
Defensive Scale Arts, Yellow Reflect Style, Tong Form: Dawn of the Corvid Intent
Empty Fog Arts, Adaptive Fate Style, Boundless Trill Form: Veil Shattering Kill
Primordial Illusion Arts, Winds Style, Heavenly Striking Center Form: United of the Grappling Kundali
Wounding Pattern Arts, Malevolent Discipline Style, Wild Copper Ascension Form: Opening of Elegance
Parallel Drop Arts, Gem Winds Style, Mirage Essence Form: Triple Riddle Draining Stomp
Dark Thousand Arts, Fading Verdant Style, Imperial Sheet Form: Five-Fold Nomad Poking Enigma
Living Tortoise Arts,  Black Giant Style, Drop Form: Aura
Traditional Return Arts, Throwing Gust Style, Bloodthristy Enlightenment Form: Projectile-Ensnaring Gentle Cremation
Jade Song Arts, Repelling Stab Style, Abyssal Quell Form: Dual-Pyrocascade Revitalizing Polarm
Coated Extinguishing Gem Bone Arts, Repelling Temple Style, Serpent Form: Red Paladin Blazing Myriads
Rightful Earthen Slashes Arts, Great Unity Style, Unified Exploding Cosmos Form: South
Expansive Water Arts, Virtuous Battlefield Style, Mystic Thoughtless Form: Fog Traversing Quick
Coated Frost Arts, Weaver Style, Great Descent Form: Six Flying Qintfade
Subduing Dive Arts, Extinguishing Realm Style, Coated Needle Form: Six Rising Gateways
Shooting Dragon Arts, Spiral Style, Invisible Energy Form: Coated Throw Grounding Blossoms
Advanced Mist Arts, Shooting Moonlight Style, Expansive Venom Form: Destiny
Fiery Height Arts, Crystalline Riding Cave Style, Ravenous Scripture Form: Formless Slip Observing Arm
Unforgiving Coastal Ape Arts, Destructive Bat Style, Traceless Deep Monk Form: Sudden Toil
Slicing Breakout Arts, Illuminating River Style, Reaper Form: Thread-Piercing Northern Move
Empty Palm Arts, Lattice Style, Spiral Form: Harmony of the Heavenly Ascension
Living Sand Arts, Basic Comb Style, Calm Siege Form: Extinguishing Wraith Reflecting Taiji
Grafting Fortress Arts, Ripping Fate Style, Capped Sight Form: Adaptive Vampire Rising Vibrant
Waxing Chariot Arts, Southern Slashes Style, Martial Sonata Form: Dual-Phenomena Biting Devil
Endless Spectral Kick Arts, Divine Midsummer Bite Style, Crusher Form: Buddha Conquering Fist
Earthly Gem Adaptive Destiny Arts, Vedas Style, Grafting Total Form: Saber Severing Shaft
Encompassing Throwing Boxing Breakthrough Arts, Waves Style, Basic Monastery Form: Prelude-Stabbing Demonic Origin
Tearing Fleche Arts, Moonlit Equine Clarity Style, Red Asura Form: Inferno of the Paradise
Equine Cultivation Arts, Full Fox Style, Slicing Priest Form: Battle of the Equal Fish
Shattering Thaw Arts, Stunning Pure Double Style, Aquatic Chop Form: Sound Confronting Precept
Radiant Diving Cold Force Arts, Lower Blaze Style, Devouring Double Radiance Form: Perfusion Controlling Flesh
Rising Vajrapani Arts, Petal Dance Style, Elusive Fortress Form: East of the Asura
Roving Advanced Triadic Arts, Bronze Unrivaled Solar Style, Corrupted Starlit Form: Hit of the Blessing
Drunken Hawk Arts, Cold Great Stunning Style, Hunyuan Form: Giant Possession-Raining Martyr
Icy Cloud Arts, Serene Lord Style, Cold Grasp Form: Lance of the Noble
Sonic Burning Yin Arts, Infinite Galaxy Style, Roars Form: Frenzy of Wisdom
Obsidian Thread Arts, Grafting Scale Style, Golden Vile Echo Form: Empty Spiritage Sleeping Chop
Dominating Fairy Arts, Expansive Ascending Waning Style, Divine Valley Form: Destructive Trap Invigorating Master
Burning Ridge Arts, Exploding Severance Style, Wandering Governing Shout Form: Toss-Swirling Serene Arm
Adamantine Asterism Arts, Lower Dirty Disciple Style, Equal Hawkstrider Form: Magnanimous Spear
Parallel Crossing Malevolent Authority Arts, Vermillion Sun Style, Outward Infinite Essence Form: Leniency of the Prestissimo
Metallic Crazy Cold Destiny Arts, Basic South Style, Moonlit Elbow Form: Way
Big Parallel Western Strength Arts, Few Defense Style, Ravenous Cursed Gateways Form: Giant Reguard-Controlling Sufferings
Coastal Bodhi Arts, Immortal Great Stretched Style, Vile Meridian Form: Triple Otherness Grounding Ghost
Evil Ascent Arts, Sudden Circulation Style, Blazing Awakening Form: Chop
Finishing Heavenly Coral Chackra Arts, Southern Wind Style, Waxing Mind Form: Five-Fold Shade Aiming Prestissimo
Extra Stellar Metal Arts, Spiraling Extended Enlightenment Style, Calm Transparency Form: Augmented Consciousness Rising Walk
Luminous Infernal Unified Malignant Arts, Burning Fading Frontier Style, Illusory Fiery Deity Form: Dual-Tong Soaring Veil
Illusory Earthly Taihua Arts, Crimson Team Style, Shattering Fortress Form: Six Drifting Body
Undivinable Tongue Arts, Snow Demonic Azure Style, Ancient Wild Throw Form: Big Emptiness Summoning Karmic
Formless Tai Arts, Sugar Style, Tearing Elements Form: Skeletal Wildfire
Big Descent Arts, Quick Wildfire Style, Radiant Grip Form: Sacred Paladin
52 Fold Cawing Demonic Pierce Arts, Outward Ravenous True Style, Mystery Form: Few Enlightenment
Big Unshakable Point Arts, Bloody Deities Style, Crimson River Form: Dual-Vedas Dispersing Soft
True Rectitude Arts, Descent Style, Windswept Form: Giant Crown-Stopping Stalwart
Midsummer Vitality Arts, Holy Thunder Style, Wounding March Form: Grip of the Serene Court
Mad Vapor Arts, Crystalline Nails Style, Dark Saint Form: Aura of Meridian
Blooming Quanzhen Arts, Vile Evil Unforgiving Style, Shattering Footstep Form: Staff-Taking Fiendish Prayer
Center Maelstrom Arts, Felling Things Style, Shadow Necrotoxin Form: Five-Fold Pounce Freezing Exchange
Penetrating Capped Brush Arts, Prestissimo Style, Sui Form: Five-Fold Assault Swaying Glacier
Unparalleled Crusher Arts, Waning Quanzhen Style, Jade Exchange Form: Temple of Lattice
Indestructible Dawn Arts, Frozen Plume Style, Frosty Condor Form: Net of Dance
Evil Final Protector Arts, Redemption Style, Encompassing Kundali Form: Fatal Crash Sharpening Tablet
Ascending Lightweight Arts, Violent Expansive Capped Style, Consecutive Vampire Form: Ursine Grounding Arrow
Eternal Mindless Arts, Mighty Thundershock Style, Absolute Battle Form: Netherworld-Enduring Double Cultivation
Astral Spiraling Scheme Arts, Infinite Total Style, Waxing Sanctity Form: Rain
Exploding Moonlit Harmonies Arts, Heartless Star Style, Obscure Contemplate Form: Five-Fold Scholar Vispering Tempest
Aquatic Stroke Arts, Fist Style, Splitting Spirit Surge Form: Crossing Omnidirectional Breaking Suffering
Cutting Staff Arts, Thunderous Elegant Wicked Style, Universal Chin Form: Facing Tea Bowing Kindled
Elusive Origin Arts, Unrivaled Sheet Style, Delights Form: Triple Cliff Resonating Vajrapani
Coated Domain Arts, Striking Capped Vitality Style, Encompassing Unity Form: Sealing Shatters
Bright Viper Arts, Hoarforst Style, Dominating Instance Form: Triple Lotus Observing Sonata
Quick Soul Arts, Vile Vajrayana Style, Footstep Form: Frontier Coiling Sand
Toxic Wild Polearm Arts, Sonic Angel Style, Unmatched Stab Form: Dominating Remains Scorching Poisons
Iron Buddhist Ocean Arts, Bloodstained Spiraling Momentum Style, Move Form: Prajna of the Tearing Warrior
Spiritual Flash Arts, Single Embracing Binder Style, Sun Form: Legacy Draining Asterism
Unified Unity Arts, Capped Prism Style, Abyssal Thunderous Condor Form: True Flare Flying Fang
Midsummer Galaxy Arts, Traversing Tablet Style, Pure Sinister Form: Palms
Dividing Echo Arts, Waxing Spike Style, Piercer Form: Flow of Patriarch
Rising Glacial Aureate Breakout Arts, Continuous Bloody Basic Style, Elemental Felling Wing Form: Five-Fold Starlight Piercing Technique
Sonic Cold Omnidirectional Arts, Midsummer Titan Style, Traceless Form: Barrier
Governing Soar Arts, Coated Skills Style, Frosty Thunder Form: Chop Drifting Cut
Heartless Cutter Arts, Blazing Mobility Style, Splitting Aura Form: Six Crushing Shaolin
Astral Woods Arts, Dark Downward Strike Style, Consecutive Soft Form: Six Resonating Crane
Rising Retribution Arts, Parallel Chaotic Awakening Style, Cold Fist Form: Block-Scorching 43rd Perfusion
Mad Sweetened Arts, Capped Living Sacred Style, Emperor Form: Elements
Unified Incineration Arts, Primordial Fatal Rightful Style, Warmaster Form: Five-Fold Tablet Resonating Total
Adaptive Piercer Arts, Rightful Subduing Celestial Style, Comb Form: Net of Soar
Secret Defensive Buddha Arts, Adaptive Sacred Eruption Style, Thunderous Spin Form: Dual-Pulse Freezing Glide
Repelling Taiji Arts, Whirling Sealing True Style, Enlightened Plume Form: Fox Summoning Angel
Final Invisible Yin Arts, Chain Style, Downward Center Fiend Form: Dual-Cross Rising Switch
Radiant Arrows Arts, Magnanimous Governing Traditional Style, Total Form: Dual-Mindless Counterattacking Winds
Imperial Black Hydra Arts, Contemplate Style, Universal Shroud Form: Feral Thousands
Black Silver Responsive Trident Arts, Extinguishing Flying Disciple Style, Grappling Polearm Form: Five-Fold North Resting Sonata
Equine Stomp Arts, Cross Style, Eternal Force Form: Sharpened of the Lunar Stretched
Mirage Abyssal Prajna Arts, Malevolent Astral Sisi Style, Deep Hellish Snowfield Form: Triple Wraith Paralizing Style
Vermillion West Arts, Blessed Encompassing Rolling Style, Embracing Reaction Form: Sacred Deflection
Dominating Flame Arts, Responsive Veiled Style, Astral Hidden Thunderclap Form: Reaper
Ghostly Flow Arts, Whirling Switch Style, Burning Family Form: Five-Fold Needle Slicing Pattern
Frosty Venomous Metallic Cross Arts, Primordial Unified Raptor Style, Harmonious Elegant Defense Form: Five-Fold Assaliants Ascending Warmaster
Giant Shockwave Arts, Capped Calm View Style, Endless Wolf Form: Battle of Seal
Mighty Many Mistveil Arts, Bright Lunar Killing Style, Ethereal Prelude Form: Five-Fold Horse Aiming Assimilation
Consecutive Grafting Forged Grip Arts, Indestructible Rightful Enlightened Style, Saving Balanced Nebula Form: Lost of Elegance
Mysterious Wing Arts, Coral Heritage Style, Disciple Form: Drift of Barrage
Current Righteous Perfect Protector Arts, Single Punch Style, Imperial Disciple Form: Cut Traversing Talon
Crossing Bat Arts, Cawing Stellar Charging Style, Fading Smashing Ember Form: Triple Jewel Draining Eclipse
